id,l10n_br_avatax_code
l10n_br.tax_template_out_aproxtrib_fed_incl_goods,aproxtribFed
l10n_br.tax_template_out_aproxtrib_fed_excl_goods,aproxtribFed
l10n_br.tax_template_out_aproxtrib_state_incl_goods,aproxtribState
l10n_br.tax_template_out_aproxtrib_state_excl_goods,aproxtribState
l10n_br.tax_template_out_cofins_incl_goods,cofins
l10n_br.tax_template_out_cofins_excl_goods,cofins
l10n_br.tax_template_out_cofins_deson_incl_goods,cofinsDeson
l10n_br.tax_template_out_cofins_deson_excl_goods,cofinsDeson
l10n_br.tax_template_out_cofins_st_incl_goods,cofinsSt
l10n_br.tax_template_out_cofins_st_excl_goods,cofinsSt
l10n_br.tax_template_out_icms_incl_goods,icms
l10n_br.tax_template_out_icms_excl_goods,icms
l10n_br.tax_template_out_icms_credsn_incl_goods,icmsCredsn
l10n_br.tax_template_out_icms_credsn_excl_goods,icmsCredsn
l10n_br.tax_template_out_icms_deson_incl_goods,icmsDeson
l10n_br.tax_template_out_icms_deson_excl_goods,icmsDeson
l10n_br.tax_template_out_icms_difa_dest_incl_goods,icmsDifaDest
l10n_br.tax_template_out_icms_difa_dest_excl_goods,icmsDifaDest
l10n_br.tax_template_out_icms_difa_fcp_incl_goods,icmsDifaFCP
l10n_br.tax_template_out_icms_difa_fcp_excl_goods,icmsDifaFCP
l10n_br.tax_template_out_icms_difa_remet_incl_goods,icmsDifaRemet
l10n_br.tax_template_out_icms_difa_remet_excl_goods,icmsDifaRemet
l10n_br.tax_template_out_icms_eff_incl_goods,icmsEff
l10n_br.tax_template_out_icms_eff_excl_goods,icmsEff
l10n_br.tax_template_out_icms_fcp_incl_goods,icmsFCP
l10n_br.tax_template_out_icms_fcp_excl_goods,icmsFCP
l10n_br.tax_template_out_icms_own_payer_incl_goods,icmsOwnPayer
l10n_br.tax_template_out_icms_own_payer_excl_goods,icmsOwnPayer
l10n_br.tax_template_out_icms_part_incl_goods,icmsPart
l10n_br.tax_template_out_icms_part_excl_goods,icmsPart
l10n_br.tax_template_out_icms_rf_incl_goods,icmsRf
l10n_br.tax_template_out_icms_rf_excl_goods,icmsRf
l10n_br.tax_template_out_icms_st_incl_goods,icmsSt
l10n_br.tax_template_out_icms_st_excl_goods,icmsSt
l10n_br.tax_template_out_icms_st_fcp_incl_goods,icmsStFCP
l10n_br.tax_template_out_icms_st_fcp_excl_goods,icmsStFCP
l10n_br.tax_template_out_icms_st_fcppart_incl_goods,icmsStFCPPart
l10n_br.tax_template_out_icms_st_fcppart_excl_goods,icmsStFCPPart
l10n_br.tax_template_out_icms_st_part_incl_goods,icmsStPart
l10n_br.tax_template_out_icms_st_part_excl_goods,icmsStPart
l10n_br.tax_template_out_icms_st_sd_incl_goods,icmsStSd
l10n_br.tax_template_out_icms_st_sd_excl_goods,icmsStSd
l10n_br.tax_template_out_icms_st_sd_fcp_incl_goods,icmsStSdFCP
l10n_br.tax_template_out_icms_st_sd_fcp_excl_goods,icmsStSdFCP
l10n_br.tax_template_out_ii_incl_goods,ii
l10n_br.tax_template_out_ii_excl_goods,ii
l10n_br.tax_template_out_iof_incl_goods,iof
l10n_br.tax_template_out_iof_excl_goods,iof
l10n_br.tax_template_out_ipi_incl_goods,ipi
l10n_br.tax_template_out_ipi_excl_goods,ipi
l10n_br.tax_template_out_ipi_returned_incl_goods,ipiReturned
l10n_br.tax_template_out_ipi_returned_excl_goods,ipiReturned
l10n_br.tax_template_out_pis_incl_goods,pis
l10n_br.tax_template_out_pis_excl_goods,pis
l10n_br.tax_template_out_pis_deson_incl_goods,pisDeson
l10n_br.tax_template_out_pis_deson_excl_goods,pisDeson
l10n_br.tax_template_out_pis_st_incl_goods,pisSt
l10n_br.tax_template_out_pis_st_excl_goods,pisSt
